episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/num_steps_trained_this_iter,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
3.0,0.0,2.1666666666666665,500.0,6,6,20031984,0,20031984,False,10008,1002,56dd2_00000,4b7d5c526fd6496ca9f43a262d9f8093,2026-05-22_21-37-03,1779485823,2.7770864963531494,2876.9887998104095,913168,5f2e1c1af545,172.24.0.2,2.7770864963531494,0,1,"[3.0, 3.0, 3.0, 2.0, 2.0, 0.0]","[500, 500, 500, 500, 500, 500]",0.21916208602636936,1.1282650400980485,0.058057973329588286,0.8615084784589321,0.0,2094.692,9544.126,202.307,98820.233,540.257,37004.645,4.794,20031984,20031984,20031984,20031984,0,10.2,24.724999999999998,0.20000000000000007,1.0000000000000003e-10,-0.15279226998488107,-0.15135736614465714,0.004195245169103146,0.7838672041893006,0.01290193838126991,0.8210527777671814,0.01
4.0,0.0,2.5555555555555554,500.0,12,6,20051976,0,20051976,False,10020,1003,56dd2_00000,4b7d5c526fd6496ca9f43a262d9f8093,2026-05-22_21-37-06,1779485826,2.6077120304107666,2879.5965118408203,913168,5f2e1c1af545,172.24.0.2,5.384798526763916,0,2,"[3.0, 3.0, 3.0, 2.0, 2.0, 0.0, 3.0, 2.0, 1.0, 3.0, 2.0, 3.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",0.21618288505139804,1.1284758667590173,0.05781356491455983,0.8554448561236515,0.0,2419.675,8262.268,194.374,102853.218,498.78,40081.77,3.757,20051976,20051976,20051976,20051976,0,9.650000000000002,24.8,0.20000000000000007,1.0000000000000003e-10,-0.00015315469354391099,0.003143024817109108,0.0034340787989397843,0.7270495891571045,0.008030374067881495,0.8336331486701966,0.01
4.0,0.0,2.625,500.0,6,6,20071968,0,20071968,False,10026,1004,56dd2_00000,4b7d5c526fd6496ca9f43a262d9f8093,2026-05-22_21-37-09,1779485829,2.560558795928955,2882.1570706367493,913168,5f2e1c1af545,172.24.0.2,7.945357322692871,0,3,"[3.0, 3.0, 3.0, 2.0, 2.0, 0.0, 3.0, 2.0, 1.0, 3.0, 2.0, 3.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",0.21498417169895911,1.1269181525043115,0.0576521317000902,0.8531929738595029,0.0,2482.148,8054.313,190.65,104862.321,480.172,41635.102,3.354,20071968,20071968,20071968,20071968,0,9.325,24.8,0.20000000000000007,1.0000000000000003e-10,0.021949371322989464,0.025173097352186837,0.0035935763580103716,0.5891083955764771,0.007778192008039753,0.8372941176096599,0.01
4.0,0.0,2.4722222222222223,500.0,12,6,20091960,0,20091960,False,10038,1005,56dd2_00000,4b7d5c526fd6496ca9f43a262d9f8093,2026-05-22_21-37-11,1779485831,2.670280933380127,2884.8273515701294,913168,5f2e1c1af545,172.24.0.2,10.615638256072998,0,4,"[3.0, 3.0, 3.0, 2.0, 2.0, 0.0, 3.0, 2.0, 1.0, 3.0, 2.0, 3.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 2.0, 2.0, 4.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",0.21378683701266382,1.1247290403551902,0.05742260022446745,0.8514304354465282,0.0,2508.835,7968.64,195.743,102133.752,490.617,40748.667,3.288,20091960,20091960,20091960,20091960,0,9.724999999999998,24.8,0.20000000000000007,1.0000000000000003e-10,0.019416517143448195,0.021681691333651543,0.004129242803901434,0.6574519475301107,0.007366741764952185,0.7867765347162883,0.01
4.0,0.0,2.5416666666666665,500.0,12,6,20111952,0,20111952,False,10050,1006,56dd2_00000,4b7d5c526fd6496ca9f43a262d9f8093,2026-05-22_21-37-14,1779485834,2.6098809242248535,2887.4372324943542,913168,5f2e1c1af545,172.24.0.2,13.225519180297852,0,5,"[3.0, 3.0, 3.0, 2.0, 2.0, 0.0, 3.0, 2.0, 1.0, 3.0, 2.0, 3.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 2.0, 2.0, 4.0, 3.0, 3.0, 4.0, 2.0, 2.0, 3.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",0.213278643049813,1.1244392605807907,0.05733614617687626,0.8517897077234089,0.0,2556.145,7821.152,193.049,103559.02,482.974,41393.524,3.18,20111952,20111952,20111952,20111952,0,9.7,24.825000000000003,0.20000000000000007,1.0000000000000003e-10,-0.02514313900222381,-0.02226004966845115,0.0037861755893876157,0.6962754845619201,0.008365618209475656,0.8342385570208232,0.01
4.0,0.0,2.5555555555555554,500.0,6,6,20131944,0,20131944,False,10056,1007,56dd2_00000,4b7d5c526fd6496ca9f43a262d9f8093,2026-05-22_21-37-17,1779485837,2.600816488265991,2890.0380489826202,913168,5f2e1c1af545,172.24.0.2,15.826335668563843,0,6,"[3.0, 3.0, 3.0, 2.0, 2.0, 0.0, 3.0, 2.0, 1.0, 3.0, 2.0, 3.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 2.0, 2.0, 4.0, 3.0, 3.0, 4.0, 2.0, 2.0, 3.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",0.21304035109015654,1.1245465816979956,0.05731484150625055,0.8520639286058652,0.0,2571.898,7773.249,188.93,105816.905,476.425,41962.571,3.104,20131944,20131944,20131944,20131944,0,12.033333333333333,24.899999999999995,0.20000000000000007,1.0000000000000003e-10,-0.042690978447596235,-0.0380914568901062,0.0026812433963641523,0.6048397739728292,0.006505521097024314,0.8581862847010294,0.01
4.0,0.0,2.4696969696969697,500.0,12,6,20151936,0,20151936,False,10068,1008,56dd2_00000,4b7d5c526fd6496ca9f43a262d9f8093,2026-05-22_21-37-19,1779485839,2.6261534690856934,2892.664202451706,913168,5f2e1c1af545,172.24.0.2,18.452489137649536,0,7,"[3.0, 3.0, 3.0, 2.0, 2.0, 0.0, 3.0, 2.0, 1.0, 3.0, 2.0, 3.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 2.0, 2.0, 4.0, 3.0, 3.0, 4.0, 2.0, 2.0, 3.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 2.0, 3.0, 0.0, 2.0, 2.0, 4.0, 2.0, 4.0, 1.0, 1.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",0.21265050837171487,1.1240489814236099,0.05724563692893363,0.8526699147121117,0.0,2574.717,7764.736,194.836,102609.265,472.177,42340.028,3.05,20151936,20151936,20151936,20151936,0,9.675,24.825000000000003,0.20000000000000007,1.0000000000000003e-10,-0.11590088158845901,-0.11550401250521342,0.0061772688602407776,0.6760682543118794,0.007820416714452941,0.8138223052024841,0.01
6.0,0.0,2.5128205128205128,500.0,12,6,20171928,0,20171928,False,10080,1009,56dd2_00000,4b7d5c526fd6496ca9f43a262d9f8093,2026-05-22_21-37-22,1779485842,2.7323341369628906,2895.396536588669,913168,5f2e1c1af545,172.24.0.2,21.184823274612427,0,8,"[3.0, 3.0, 3.0, 2.0, 2.0, 0.0, 3.0, 2.0, 1.0, 3.0, 2.0, 3.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 2.0, 2.0, 4.0, 3.0, 3.0, 4.0, 2.0, 2.0, 3.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 2.0, 3.0, 0.0, 2.0, 2.0, 4.0, 2.0, 4.0, 1.0, 1.0, 3.0, 4.0, 2.0, 2.0, 3.0, 4.0, 6.0, 3.0, 3.0, 1.0, 1.0, 1.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",0.21240154639092532,1.1239499592880313,0.05720695016811766,0.8550276277813129,0.0,2605.978,7671.592,191.197,104562.061,469.481,42583.183,3.002,20171928,20171928,20171928,20171928,0,9.8,24.9,0.20000000000000007,1.0000000000000003e-10,-0.25240701536337534,-0.24970554908116657,0.004580245974163215,0.754507044951121,0.006460737316623503,0.8573862870534261,0.01
6.0,0.0,2.511904761904762,500.0,6,6,20191920,0,20191920,False,10086,1010,56dd2_00000,4b7d5c526fd6496ca9f43a262d9f8093,2026-05-22_21-37-25,1779485845,2.5977625846862793,2897.994299173355,913168,5f2e1c1af545,172.24.0.2,23.782585859298706,0,9,"[3.0, 3.0, 3.0, 2.0, 2.0, 0.0, 3.0, 2.0, 1.0, 3.0, 2.0, 3.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 2.0, 2.0, 4.0, 3.0, 3.0, 4.0, 2.0, 2.0, 3.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 2.0, 3.0, 0.0, 2.0, 2.0, 4.0, 2.0, 4.0, 1.0, 1.0, 3.0, 4.0, 2.0, 2.0, 3.0, 4.0, 6.0, 3.0, 3.0, 1.0, 1.0, 1.0, 3.0, 2.0, 2.0, 3.0, 3.0, 2.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",0.21226353903407946,1.1238702319723355,0.0571873545132476,0.8559492898331256,0.0,2607.396,7667.419,189.287,105617.204,467.146,42796.086,2.952,20191920,20191920,20191920,20191920,0,9.475,24.9,0.20000000000000007,1.0000000000000003e-10,-0.13850577672322592,-0.13454886625210444,0.0030608306638896464,0.7956913232803344,0.007989158048164312,0.8615578254063924,0.01
6.0,0.0,2.5416666666666665,500.0,12,6,20211912,0,20211912,False,10098,1011,56dd2_00000,4b7d5c526fd6496ca9f43a262d9f8093,2026-05-22_21-37-27,1779485847,2.592299699783325,2900.5865988731384,913168,5f2e1c1af545,172.24.0.2,26.37488555908203,0,10,"[3.0, 3.0, 3.0, 2.0, 2.0, 0.0, 3.0, 2.0, 1.0, 3.0, 2.0, 3.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 2.0, 2.0, 4.0, 3.0, 3.0, 4.0, 2.0, 2.0, 3.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 2.0, 3.0, 0.0, 2.0, 2.0, 4.0, 2.0, 4.0, 1.0, 1.0, 3.0, 4.0, 2.0, 2.0, 3.0, 4.0, 6.0, 3.0, 3.0, 1.0, 1.0, 1.0, 3.0, 2.0, 2.0, 3.0, 3.0, 2.0, 5.0, 2.0, 3.0, 2.0, 4.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",0.21204070286634893,1.1235231013201472,0.05714255358865217,0.8571121575731256,0.0,2604.007,7677.399,191.484,104405.422,466.083,42893.617,2.914,20211912,20211912,20211912,20211912,0,11.433333333333332,24.899999999999995,0.20000000000000007,1.0000000000000003e-10,0.015643340597550074,0.0182614562412103,0.0038598837641378243,0.6797281622886657,0.0071718394190137735,0.7912368257840474,0.01
6.0,0.0,2.6,500.0,12,6,20231904,0,20231904,False,10110,1012,56dd2_00000,4b7d5c526fd6496ca9f43a262d9f8093,2026-05-22_21-37-30,1779485850,2.647003412246704,2903.233602285385,913168,5f2e1c1af545,172.24.0.2,29.021888971328735,0,11,"[1.0, 3.0, 2.0, 3.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 2.0, 2.0, 4.0, 3.0, 3.0, 4.0, 2.0, 2.0, 3.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 2.0, 3.0, 0.0, 2.0, 2.0, 4.0, 2.0, 4.0, 1.0, 1.0, 3.0, 4.0, 2.0, 2.0, 3.0, 4.0, 6.0, 3.0, 3.0, 1.0, 1.0, 1.0, 3.0, 2.0, 2.0, 3.0, 3.0, 2.0, 5.0, 2.0, 3.0, 2.0, 4.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 2.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",0.2112740293174989,1.1228545732599022,0.05703879470431329,0.8581900479897402,0.0,2666.764,7496.728,188.602,106001.0,457.729,43676.534,2.71,20231904,20231904,20231904,20231904,0,9.85,24.8,0.20000000000000007,1.0000000000000003e-10,0.10382048984368643,0.10594574064016342,0.004553971191247304,0.5729930957158407,0.008340003000855252,0.834721573193868,0.01
6.0,0.0,2.64,500.0,6,6,20251896,0,20251896,False,10116,1013,56dd2_00000,4b7d5c526fd6496ca9f43a262d9f8093,2026-05-22_21-37-33,1779485853,2.676295280456543,2905.9098975658417,913168,5f2e1c1af545,172.24.0.2,31.69818425178528,0,12,"[4.0, 4.0, 4.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 2.0, 2.0, 4.0, 3.0, 3.0, 4.0, 2.0, 2.0, 3.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 2.0, 3.0, 0.0, 2.0, 2.0, 4.0, 2.0, 4.0, 1.0, 1.0, 3.0, 4.0, 2.0, 2.0, 3.0, 4.0, 6.0, 3.0, 3.0, 1.0, 1.0, 1.0, 3.0, 2.0, 2.0, 3.0, 3.0, 2.0, 5.0, 2.0, 3.0, 2.0, 4.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0, 4.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",0.21109468224014102,1.1228015043149988,0.05700155694700752,0.8587239249709008,0.0,2659.197,7518.059,191.087,104622.511,457.414,43706.619,2.771,20251896,20251896,20251896,20251896,0,9.925,24.875,0.20000000000000007,1.0000000000000003e-10,-0.05975676129261653,-0.056624142825603484,0.004217308876104653,0.7649350961049398,0.008180785509058335,0.8986090183258056,0.01
6.0,0.0,2.68,500.0,12,6,20271888,0,20271888,False,10128,1014,56dd2_00000,4b7d5c526fd6496ca9f43a262d9f8093,2026-05-22_21-37-35,1779485855,2.6748950481414795,2908.584792613983,913168,5f2e1c1af545,172.24.0.2,34.37307929992676,0,13,"[3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 2.0, 2.0, 4.0, 3.0, 3.0, 4.0, 2.0, 2.0, 3.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 2.0, 3.0, 0.0, 2.0, 2.0, 4.0, 2.0, 4.0, 1.0, 1.0, 3.0, 4.0, 2.0, 2.0, 3.0, 4.0, 6.0, 3.0, 3.0, 1.0, 1.0, 1.0, 3.0, 2.0, 2.0, 3.0, 3.0, 2.0, 5.0, 2.0, 3.0, 2.0, 4.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0, 4.0, 3.0, 3.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 2.0, 3.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",0.21090279431494763,1.122656247815512,0.05694789581139058,0.86128054558224,0.0,2665.57,7500.086,190.629,104873.77,465.703,42928.662,2.783,20271888,20271888,20271888,20271888,0,9.875,24.825000000000003,0.20000000000000007,1.0000000000000003e-10,-0.16526857962210972,-0.16519914269447328,0.0062010728443662325,0.7232671618461609,0.008247265526793038,0.7919971267382304,0.01
